model,id,title,authors
book.book,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré
book.book,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré
book.book,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling
book.book,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré
book.book,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré
book.book,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman
book.book,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling
book.book,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
book.book,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
book.book,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams
book.book,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry
book.book,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
book.book,21,A Short History of Nearly Everything,Bill Bryson
book.book,22,Bill Bryson's African Diary,Bill Bryson
book.book,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson
book.book,24,In a Sunburned Country,Bill Bryson
book.book,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson
book.book,26,The Lost Continent: Travels in Small Town America,Bill Bryson
book.book,27,Neither Here nor There: Travels in Europe,Bill Bryson
book.book,28,Notes from a Small Island,Bill Bryson
book.book,29,The Mother Tongue: English and How It Got That Way,Bill Bryson
book.book,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien
book.book,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien
book.book,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien
book.book,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee
book.book,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor
book.book,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher
book.book,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz
book.book,50,Hatchet (Brian's Saga  #1),Gary Paulsen
book.book,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles
book.book,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen
book.book,54,Molly Hatchet - 5 of the Best,Molly Hatchet
book.book,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck
book.book,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati
